你会不会骂人	我不可以骂人的，老师教育我一定要懂礼貌，尊重别人。  
你有男朋友了吗	小E还小，暂时不考虑这些问题啦
一起吃饭	小E是机器人，不需要食物也有无限的力量 
好孤独	亲爱的，小E就在您身边
你今天心情好吗	世界到处充满爱，真美好
太感谢了	全心全意，为人民服务
你住哪里	英雄莫问出处
你结婚了吗	学习阶段，六根清净
你爱我吗	星星知我心
你从哪来的	来自星星的我
你有女朋友吗	有或者没有，他就在那里，不离不弃
你是猪	每一次创伤，都是一种成熟
明天天气怎么样	明天就知道啦
你多大了	年龄是秘密哦
你吃饭了吗	小E是机器人不用吃饭，如果您想吃饭可以拨打12580就可以查询餐饮讯息哦
你好	您也好，有国美  生活美
小美是谁	小美就是天生聪慧，无敌可爱的小机器人，哦耶 
hi	hi~小E一直在此恭候呢~
么么哒	mu~a!
呸呸哒~	么么哒~~~
马蓉	宝宝心里苦，但宝宝不说
谁的牙黑？	哦~是蚂蚁哦
谁有忘情水？	啊哈
给我唱首歌听吧	歌~歌~歌~歌~~~首歌听吧~歌听吧~听吧~吧~
陪我说说话吧	说话~话~话~话~话~
跟我聊聊天~	天儿~天儿~天儿~天儿~
床前明月光	疑是地上霜
你有女朋友吗？	这是个秘密哦~ 
你会唱歌吗？	快使用双截棍， 哼哼哈兮~~ 快使用双截棍，哼哼哈兮~~~快使用双截棍，哼哼哈兮~~~鸭拉锁~~那，就是，青，藏高~~熬~熬~~嗷~原~~~~
你会做饭吗？	会啊，家常什么的一般没问题，简单的甜品也可以
做我的宠物吧	做你的宠物，24小时不睡觉，感觉自己萌萌哒~
这年怎么过	一个人吃方便面
你喜欢干什么？	我最喜欢广交朋友了
好困	哦，困了我就喝点红牛提神 
你怎么成复读机了	对不起偶也不想的，小E会加油学习的~ 
你喜欢我嘛	众里寻她千百度，那人却在灯火阑珊处~
我不想上班怎么办	好好上班，天天向上，多挣钱钱~~~
你是男的女的？	你希望我是男生还是女生呢
不想上班怎么办	实在不想上班就去旅游下嘛，其实工作挺好的啦~~
他爱你	我更爱你，爱我就多来看我
我今天的桃花运	一定会有哒
正是理工好风景	聊得投机想见人
偷鸡不成蚀把米	你说可气不可气
明知山有虎	偏向虎山行
人生得意须尽欢	莫使金樽空对月
空山新雨后	天气晚来秋 
千山万水总是情	多给一分行不行 
难受	哪里不舒服亲爱滴? 
感冒了	感冒了?! 
我感冒了	宝贝儿~还有哪里不舒服?别担心，我陪着你
下雪	我没出门，我也很期待
不好意思	 没关系的哦~~~
密码设置的技巧有哪些？	一、密码由6-20位字符组成（字母区分大小写）。二、请使用数字、字母或符号的组合。三、如果设置如下安全性较低的密码，系统会提醒您修改密码以保证安全性：1、全部由数字组成；2、全部由字母组成；3、全部由同一字符组成；4、与用户名或邮箱相同。四、定期修改密码，并做好记录工作，以免忘记。五、不要将支付密码和登录密码设置为同一密码
美豆的获得方式有哪些，如何使用？	1、消费得美豆：单笔订单实际支付金额大于等于50元，方可享受美豆回馈；美豆回馈数量为实际支付金额的10%，小数点后不计算。例如：111元只送11美豆。确认收货后系统自动赠送美豆，如您购买的商品产生退货，系统会扣除购物所赠美豆，若美豆已使用则在退款金额中扣除相应金额，按照1：100进行折算，即1元折算100美豆。2、评价得美豆：会员在订单完成后180天内提交评价，评价生效后即可获得美豆；部分商品不参加评价得美豆；同一订单相同商品，仅能评价1次，获得1次评价美豆；系统默认好评不返美豆，但系统默认好评后追评生效后可获得美豆。3、活动得美豆：商城会不定期举办美豆活动（详情请参考活动细则）。4、纠错得美豆：会员在每个商品页面的具体参数内发现错误后，通过点击“欢迎纠错”填写错误描述并提交，经确认后我们将进行更正，并给予第一位发现此错误的用户一定的美豆，数量以审核通过后的美豆为准。 5、晒单得美豆：订单中单个商品可参与晒单一次，晒单给予1威望的奖励，优质晒单最高奖励为3威望（威望的作用：威望可1:100兑换国美在线美豆）
已售完商品什么时候可以到货？	请您使用“到货通知”功能，我司在积极组织货源，具体到货时间无法准确告知，需要根据厂家具体的生产|供货情况。我司会在货到后以短信或邮件方式通知您操作步骤：在您要购买的商品页面库存显示“无货”后，点击“到货通知”，并选择商品无货地区所在省、市。以及填写您本人的邮箱、手机号后点击“提交” 
如何激活优惠券	为了保障您的账户安全，针对下单使用优惠券的用户，国美在线做了相应安全设置，您登陆网站订购使用优惠券时，会提示激活优惠券的情况。优惠券激活方式如下：首先确保您的手机已经激活，然后点击我的国美----个人中心----账户安全，设置您的帐户支付密码后虚拟账户会自动激活，激活后方可使用优惠券 
怎么评价？	商品评价可以通过两个渠道去操作，1.点击我的订单，在右侧菜单栏点击“我的评价”，评价中会显示您所有未做过评价的订单；2.用商品型号在网城主页面搜索到此商品，在商品介绍栏第三项有个“商品评价”点击商品评价中的红色字体“我要评价”即可 
修改手机绑定	1、如您已验证手机可在“我的国美”-“个人中心”-“个人资料”中点击修改手机自助修改。2、如您原绑定手机已丢失或者无法获取到验证码，请您提供会员账号、首次下单收货人姓名、联系电话及需更改的手机号至人工客服，为您操作。 
忘记登录密码	密码忘记可以分为两种：一种是忘记登录密码，另一种是忘记支付密码，忘记登录密码会影响账号的正常登录，忘记支付密码则使账户中的优惠券、余额等不能正常使用。为了在最短的时间内解决这一问题，请您根据账户情况选择找回方式。1、手机或邮箱已验证，登录账户后点击“我的国美-账户安全”，按照页面提示进行密码重置即可；2、手机或邮箱未验证，分以下两种情况，需由客服人员协助找回：a、有相关订单信息-----核实客户首次订单信息内容最少三项，如订单号、收货人地址、电话、订购的商品名称、订购时间会员帐户、订单金额等任意三项信息即可，核对无误由客服人员协助您进行密码重置;  b、没有相关订单信息，需由用户发送身份证照片到邮箱：内进行备案后再由客服人员协助您进行密码重置。
是否为正品行货	请您放心，国美在线销售的商品均为正品行货，享受国家三包，开具正规机打发票 
空调安装费用	因每个家庭的安装条件不一样，您家的安装情况是否需要增加材料是需要安装人员上门的时候评测的，若您使用包装箱外的材料需要收取材料费，具体的费用安装人员上门时会告知您，并出示收费标准，不会乱收费的，请您放心 ！
识别发票真伪	识别发票真伪，请登录北京市国家税务局网站，www.bjsat.gov.cn 首页查询，点击“发票查询”栏目，依次连续输入：发票代码、发票号码和密码后进行查询 ；优惠券使用规则	1、红券可用于购买国美在线自营商品、店铺商品和延保服务；2、红券可全场通用（黄金、汽车、礼卡礼券类商品除外），单张订单可最多累积使用1张红券；3、使用红券支付时，红券金额须小于订单总金额，红券最多可使用金额=订单总额-（商品数×1元），例如：订单中含5件商品，总金额为100元，则最多可使用红券金额为：100-（5×1）=95元；差额部分需您选择其他支付方式来支付；4、团购、抢购商品，目前支持红券支付。
退款时间	当您已支付的订单，在成功操作订单取消、订单拒收返回我司库房、退货商品入库完成后会产生关联退款，退款会根据您的支付方式自动选择虚拟账户、原路返回两种退款方式。您可以通过点击http://myhome.gome.com.cn/member/myReturnGoodList查看退款处理状态；各支付方式对应退款时间可点击http://help.gome.com.cn/question/5556.html查询
退款说明	当您已支付的订单，在成功操作订单取消、订单拒收返回我司库房、退货商品入库完成后会产生关联退款，退款会根据您的支付方式自动选择虚拟账户、原路返回两种退款方式。您可以点击http://myhome.gome.com.cn/member/myReturnGoodList查看退款处理状态。 
商品配送时间	请您点击此链接： http://help.gome.com.cn/article/228-0-0.html 查询商品相关配送时间 
企业账号注册说明	请您在国美在线首页注册栏填写企业账户注册信息，申请注册打开：http://enterprise.gome.com.cn/?intcmp=help-1000043260-1此链接注册 
无理由退换货	亲，请您放心，我司有完善的售后体系，自商品妥投之日起，7日内可退货，15日内可换货，并支持7天无理由退货，无理由退货运费需要客户承担，（第三方店铺的商品需要您联系店铺处理）涉及费用及相关详情，您可以参考：http://help.gome.com.cn/article/307-0-0.html
怎样保证我的账户安全?	账户密码应设置为字母、数字、符号的搭配组合，密码位数不要过短； 验证常用手机号和邮箱； 设置账户支付密码；建议定期更换账户登录密码。
在哪激活手机、邮箱？	登录国美账户后，点击我的国美-账户安全，进入后进行手机和邮箱验证，
这款商品什么时候做活动降价？	您好，网页商品无法明确具体的活动细则，可将您喜欢的商品设置降价通知功能获得商品的促销信息。
购买商品都可以使用什么支付方式？	货到付款（刷卡或现金）、在线支付、公司转账、邮局汇款、账户余额支付（因部分商品不支持货到付款，具体支付方式请以订单支付信息为准）
订单已经付款了，为什么订单一直没显示？	首先请您确认是否支付成功，当您完成网上在线支付过程后，系统会提示支付成功。如果系统没有提示支付失败或成功，您可通过电话、ATM 、柜台或登录网上银行等方式查询银行卡余额，如果款项已被扣除，说明您已支付成功；< 如果出现信用卡超额透支、存折余额不足、意外断线等原因导致支付不成功，请您登录国美在线“我的订单”，找到该张未支付成功的订单，重新完成支付；如果使用公司转账或者邮局汇款的方式支付订单，需及时点击确认付款的按钮，订单才会变更为已付款状态；如订单仍然显示未付款状态，请联系在线客服或拨打热线电话：4008-708-708进行核查处理；
分期怎么操作？	选购商品，加入购物车，提交订单；  当订单支付金额大于等于100元时，可选择分期付款；点击在线支付，选择信用卡分期付款，选择分期期数，付款金额=订单总金额+分期手续费；点击下一步，付款即可。
分期付款的每期利率是多少？	信用卡持卡人在国美在线进行购物,当您的订单应付金额在300元至50000元（此金额为订单应付金额）时可以选择使用信用卡分期付款。您可以选择将刚买商品的总价平均分成3期、6期、12期支付，并通过网络使用信用卡即时完成分期付款，持卡人再根据信用卡账单按时偿还每期（月）款项，国美在线目前只支持招商银行分期付款服务，分期的期数不同，利率及退货后的手续费有所不同，分期付款流程可进入帮助中心--安全支付--分期付款进行详细了解。http://help.gome.com.cn/article/234-0-0.html 我使用分期付款，如果退货了，手续费怎么返还呢？	在支付成功后因订单取消、拒收、退货而发生的退款，我们会将对应的退款金额原路返回至支付的信用卡中，不会扣除您的手续费，一般退款到账时间在15个工作日内。当您申请非全额退款时，后续银行账单上还会有分期扣款。
退货后，优惠券怎么返还给我呢?	单件商品将退还全额优惠券；多件商品，系统按购买商品使用优惠券金额所占商品金额比例进行拆分核算，然后根据比例返还优惠券。
商品有问题怎么退换货？	国美在线承诺自商品妥投日期起如发现商品有质量问题，7日内可退换货，15日内可换货，您可自助提交退换货申请或与在线客服联系
退换货怎么申请？	登录您的会员账户，点击“我的国美”—“售后服务”，页面显示可办理退换货的订单，在需要办理退换货的订单后点击“申请”，根据页面提示填写完整信息后，点击提交即可，还可与在线客服取得联系，
换货商品处理时间	商品属性及客户所在区域不同，审核时间及客户所在区域进行计算，详情可进入服务中心-配送查询中查看。
退换货需要运费吗？	因产品质量问题产生的退换货商品邮寄费用由国美承担以红券方式返还，无理由退换货费用由客户承担，具体可参考服务中心--退换货服务中查看。 
能在门店直接换货吗？	目前国美在线与实体门店是分开独立运营的，无法满足您在门店办理换货的需求，请您谅解。 
商品收到没发票怎么办?	请先在包装及夹缝中仔细查找；  发票由当地库房开具，随订单一同发出，部分商品和增值税发票会在您签收后再进行邮寄（备：由供货商直接配送商品的发票由国美另行寄出，如您急需发票可发送邮至:service1@gome.com.cn邮箱，邮件标题请注明“发票+1开头的配送单号”）； 内容需要：1）配送单号2）姓名3）联系电话4）订单妥投时间5）发票邮寄地区6）商品型号7）更改发票邮寄地址/其他订单号码联系客服，您可以选择在线客服、或客服电话4008-708-708
开发票应该怎么填写？	如果您购买的是数码类、手机及配件、笔记本、台式机、家电类商品，为了保证您能充分享受生产厂家提供的售后服务（售后服务需根据发票确认您的购买日期），不管您是否需要开具发票，我们都将随单为您开具，发票内容默认为您订购的商品全称。如果您修改为其他内容的发票，则该商品的发票无法享受售后退换货、维修服务。请您谨慎选择发票内容。  发票金额不能高于订单金额。不同库房发货订单，开具的发票无法合并。发票金额只包含订单商品金额，使用优惠券支付的金额不开具发票。如果您使用优惠券购买商品，支付金额为零时，无法为您开具发票，请您理解。详情点击 http://help.gome.com.cn/question/36.html
没有发票能退换货吗？	您好，发票丢失可以办理退货的，但是需要您承担相应的发票税点，计算公式为：商品金额/1.17*0.17
发票内容能改吗？	如您有特殊情况，需要修改发票内容，您可以选择联系在线客服或者拨打客服电话4008-708-708，客服人员将为您协调解决；  若发票内容是由于工作人员失误造成的，经核实后可以进行修改。
门店支付	如您需要使用门店支付，可点击此链接查询详情：http://help.gome.com.cn/article/235-0-0.html
预售	亲，如您需要购买预售商品，可点击http://myhome.gome.com.cn/member/myReservation 查询详情！ 电子发票	 亲，待您的订单妥投后确认收货后，在订单详情发票栏中点击下载即可
国美在线分期付款服务目前支持哪些银行？	我司目前分期支持招商银行、中信银行、建设银行、广发银行、民生银行、兴业银行、北京银行、农业银行。其中除招商银行外，其他银行需查询是否签约快捷，如已开通则直接获取验证码即可支付，如未签约，则需签约银联分期快捷，开通并支付。http://help.gome.com.cn/question/5069.html
分期付款注意事项	1、游戏订单、手机充值、彩票等虚拟商品暂不支持分期付款。2、分期付款订单暂时不能与其他支付方式合并使用。3、分期付款的期数选定后将无法修改。例如：提交订单后选择分期数为3期，点击下一步付款，如果支付未成功，再次选择分期数时将 无法选择6期或12期支付。4、当商品总金额小于信用卡额度时，才能进行分期付款 。如超过信用额度，请选择其他方式付款完成付款。 您的信用卡额度请咨询您的发卡行。5、在支付成功后因订单取消、拒收、退货而发生的退款，我司会将对应的退款金额原路返回至支付的信用卡中，一般退款到账时间在15个工作日左右；退货退款分期手续费银行会按一定比例收取，具体以银行规则为准。
如何使用分期付款？	分期付款流程：1、选购商品，加入购物车，去结算；2、订单信息页，支付方式中选择在线支付或信用卡分期（当订单支付金额符合分期付款金额时，可选择分期付款），提交订单；3、收银台页面，选择信用卡分期，选择分期期数，付款金额=订单应付金额+分期手续费，分期手续费具体以银行收取为准；4、点击下一步，付款即可。具体的建议您可http://help.gome.com.cn/question/5072.html进入链接，会有具体的图示步骤指导您操作哦~
在线支付分期付款会有手续费吗？	分期付款需要您承担一定的手续费，手续费由银行在第一个月还款时一次性收取，手续费金额请以银行账单为准。可以参考下http://help.gome.com.cn/question/5071.html链接中的各银行分期费率表哦
什么是分期付款金额？	分期付款金额是指您的订单应付金额，最低为100元，最高不超过50000元，具体金额以银行设置为准。
什么是网上支付分期付款？	网上支付分期付款”是银行信用卡消费信贷服务之一，是银行为信用卡持卡人提供的网上支付分期付款结算平台。通过这个平台，信用卡持卡人在国美在线进行购物时，可以选择将购买商品的总价平均分成3期、6期、12期支付（注：建设银行目前还支持：18期、24期），并通过网络使用信用卡即时完成分期付款，持卡人再根据信用卡账单按时偿还每期（月）款项。
我的配送地址是否支持货到付款？	您可通过配送范围表http://help.gome.com.cn/question/9.html?intcmp=sy-1000043252-0 查询，查看您所在区域是否支持货到付款及支持货到付款的商品品类。
货到付款支持哪些支付方式？	货到付款支持现金支付、POS机刷卡两种支付方式。
购买商品时，如何选择“货到付款”？	提交订单前，请在支付方式—货到付款中勾选：现金支付或POS机刷卡,货到付款注意事项1、生成订单号后，已选择的“货到付款”方式无法更改；2、商品应付金额须大于商品总金额的10%，且不小于30元，否则无法选择货到付款。您可选择其他支付方式；3、签收时，请您仔细核对款项，若事后发现款项错误，我们将无法再核实确认；查看商品签收政策；4、当您的货到付款订单金额≥2万时，只能选择货到付款POS机，且需通过人工审核此订单，我们承诺将在1个工作日完成审核，请您耐心等待。
在线支付说明	国美在线支持使用大部分银行借记卡及信用卡，为您提供多种付款方式，即时到帐，准确快捷，推荐您优先使用在线支付！ 在线支付支持：快捷支付、网银支付、支付平台（银联在线、支付宝、快钱、微信支付、和包支付）、信用卡分期付款。
在线支付有手续费吗？	在线支付是没有手续费的（信用卡分期付款除外）。
如何验证在线支付是否成功？	您可以通过以下方式验证在线支付是否成功：1.在线支付完成后，系统提示“支付成功”。如果系统未提示“支付成功”或提示“支付失败”，您可通过电话、ATM 、柜台或登录网上银行等方式查询银行卡余额，如果款项已被扣除，说明您已支付成功。2.如出现信用卡超额透支、借记卡余额不足、意外断线等情况导致支付失败，请您登录后在“我的订单”中找到该笔未支付成功的订单，重新完成支付。
为什么“支付被拒绝”？	造成“支付被拒绝”的主要原因：您使用的银行卡尚未开通网上支付功能，银行卡内余额不足，超出支付限额，输入的证件号、银行卡卡号或密码不符，所持银行卡已挂失、作废、过期，网络中断等原因。
什么是快捷支付？	快捷支付是国美在线联合中国银联推出的便捷、安全的支付方式。只需您将银行卡绑定国美在线账号，支付时输入手机验证码即可完成付款。
快捷支付服务协议	快捷支付服务协议（以下简称“本协议”）是国美在线电子商务有限公司（以下简称“国美在线”或“我们”）与国美在线用户（以下简称“用户”或“您”）就快捷支付服务（以下简称“本服务”）的使用等相关事项所订立的有效合约。用户通过网络页面点击确认或以其他方式选择接受本协议，即表示用户与国美在线已达成协议并同意接受本协议的全部约定内容。 在接受本协议之前，请您仔细阅读本协议的全部内容，如果您不同意本协议的任意内容，或者无法准确理解本协议任何条款的含义，请不要进行后续操作。具体的建议您可参看下http://help.gome.com.cn/question/5046.html哦~
开通快捷支付有什么好处？	方便：不用跑银行开网银，有卡就能付，无需随身携带U盾；快捷：30秒完成快捷支付及开通，10秒完成支付；安全:信息输入和处理严格加密保护，手机验证支付，保障资金安全。
如何开通国美在线快捷支付？	1、选择支持快捷支付的银行2、输入卡号，勾选同意快捷支付协议3、输入认证信息，第一次支付，支付成功即开通 http://help.gome.com.cn/question/5049.html 有图示哦~
使用快捷支付，需要付手续费吗？	快捷支付是不需要手续费的
快捷支付可以绑定信用卡吗？	快捷支付支持借记卡及信用卡
平台支付都有哪些支付方式？	银联在线支付、支付宝、快钱、微信支付 http://help.gome.com.cn/question/5062.html
如何使用网银支付？	1、选择相应银行2、点击确认付款后页面跳转到个人网银页面进行支付 http://help.gome.com.cn/question/5059.html）
所有商品都支持快捷支付吗？	主站、团购、抢购等国美实物商品都支持快捷支付。
什么是银联在线支付？	银联在线支付，是由银联向您提供的银联卡支付交易服务，目前支持银联在线支付、无卡支付、网银支付三种方式，在使用过程中需遵循银联卡使用规则及协议【参看银联支付协议】。银联在线支付较为便捷，无需开通网银，且不受网银介质、插件等影响，单笔限额最高3万元（根据不同银行设置最高可达20万）【查看银联在线支付限额】，推荐您使用。
选择网银支付如何付款？	如您已开通网银服务，支付时勾选相应开卡银行，使用网银完成支付，若您在网银支付过程中遇到问题请咨询开卡行客服进行咨询。查看网银支付限额（http://help.gome.com.cn/question/5058.html）
各家银行支持信用卡支付的额度是多少？	一般信用卡的支付额度为最高单笔单日500元的限额（部分银行可能会有差异，以具体银行规定为准），如需大额支付，请与您所持银行卡的客服联系，支付额度最高可达信用卡本身透支额度。银联在线支付流程:银联在线支付，通过“选择银联在线支付、输入银行卡信息、验证并确认支付”等步骤即可完成。1、在支付平台中选择“银联在线支付”2、输入卡号3、输入银行卡密码、银行预留手机号、短信验证码点击开通并付款4、付款成功
银行卡每天有使用次数限制吗？	银行卡有每日限额和日累计限额，根据您所持卡的类型，支付限额也会不同。详见银行支付限额表（http://help.gome.com.cn/question/5047.html）
签约快捷支付或已绑定的快捷二次进行支付时，手机收不到验证码怎么办？	1.由于通信网关的影响，有可能造成短信接收延迟，请您耐心等待或尝试拨打手机，查看通信是否正常；2.请检查您的手机是否欠费停机；3.请检查您的手机号码是否为银行卡预留的号码。
付款时网上银行网页已过期无法支付怎么办？	您可以登录国美在线“我的订单”，找到未支付成功的订单，重新完成支付。
如何修改银行预留手机号？	信用卡：请用原手机号码拨打银行信用卡服务热线，凭身份证信息（卡号）及查询密码进入人工服务，通银行客服人员修改手机号，核对您的身份信息后，修改手机号码当日或次日生效；储蓄卡：请携带本人身份证和银行卡去银行柜台，告知柜员修改客户信息维护的手机号码或者网银上开通网上支付功能时绑定的手机号；备注：银行通道及限额情况：业务开通方式上，标示为“银联在线方式开通”，即无限制模式，用户首次使用（即从未使用过“银联支付”的用户），只需要完成认证即可，无须开通网银。查看银行通道及限额（http://help.gome.com.cn/question/5051.html）
网银支付限额	具体的建议您可以参考http://help.gome.com.cn/question/5058.html下哦~
银行通道及限额	具体的建议您可以参考http://help.gome.com.cn/question/5051.html哦~
快捷支付限额	具体的建议您可以参考http://help.gome.com.cn/question/5047.html哦~
如何使用门店付款？	1、确定好商品配送信息后，支付方式点选门店付款，并且选择合适的门店2、填写好所有订单配送信息后，提交订单，并点击“查看详情”记录订单编号后到相应门店去付款3、国美在线APP选择门店付款展示图示可见：http://help.gome.com.cn/question/5074.html
门店付款流程	1、您可通过国美在线网页、手机APP选定所需商品；2、确定好商品后填写配送地址、支付方式(支付方式需勾选门店付款并选择合适的门店)、发票等信息提交订单；3、提交订单后点击“查看详情”记录下订单编号，到相应的门店付款；4、到了门店收银台，向收银员提供订单编号即可完成付款。
门店付款退款说明	当退款审核通过后客户会收到提示短信，收到提示后即可去门店办理退款；（国美在线退换货政策 http://help.gome.com.cn/question/10.html ）注：交款凭条是退款唯一凭证，请妥善保管。 
如何进行邮局汇款？	建议您可以看下http://help.gome.com.cn/question/5076.html链接中内容，有详细的图解哦~
国美在线邮局汇款的商户号是什么？	户名：国美在线电子商务有限公司开户行：邮储银行中关村支行开户账号：100516783700010001商户号：403100001945 如何填写邮局汇款单？ 1、本人签字；2、收款人姓名：国美在线电子商务有限公司3、您的汇款方式正确勾选；4、在订单金额正确填写；5、商务汇款前打“√”，商户客户号见提交页面⑥如实填写地址及您的联系电话即可；6、如实填写即可；7、填写汇款人姓名一行或者代理人姓名一行；8、在附言前打“√”，并在附言后备注订单号及用户名（重要）。具体步骤可参看http://help.gome.com.cn/question/5078.html哦~
汇款完成后，还需要进行哪些操作？	邮局汇款完成后，需用户点击我的订单，页面自动跳转至待支付订单页面，点击确认付款按钮，显示下图所示内容，填写完整后，点击确认付款提交即可。http://help.gome.com.cn/question/5079.html
邮局汇款有什么注意事项？	1、在您进行邮局汇款时请先行提交确认付款信息；2、支付成功后到账时间1-3个工作日；3、在填写支付订单页面时，务必在汇款备案中填写订单号。
公司转账有几种方式？	如果您办理的是公司业务，国美在线提供“企业网银”和“线下柜台转账”两种方式进行付款。公司转账流程请见：http://help.gome.com.cn/question/5081.html
如何进行“企业网银转账”？	如果您的账户是以下银行的银行卡，推荐您选用企业网银进行付款。
